id,age
1,30
2,42
3,35
4,30
5,44
6,31
7,18
8,29
9,32
10,43
11,18
12,27
13,25
14,44
15,26
16,23
17,51
18,54
19,40
20,40
21,46
22,48
23,40
24,23
25,37
26,21
27,18
28,42
29,22
30,21
31,18
32,38
33,49
34,30
35,36
36,42
37,21
38,50
39,43
40,40
41,32
42,36
43,30
44,34
45,43
46,45
47,28
48,40
49,43
50,42
51,36
52,51
53,22
54,47
55,36
56,43
57,39
58,28
59,47
60,23
61,31
62,27
63,30
64,40
65,33
66,33
67,40
68,31
69,35
70,36
71,32
72,38
73,36
74,41
75,33
76,33
77,42
78,45
79,18
80,29
81,40
82,36
83,31
84,38
85,36
86,36
87,38
88,35
89,50
90,47
91,20
92,26
93,22
94,44
95,34
96,27
97,24
98,50
99,33
100,41
101,31
102,48
103,45
104,22
105,35
106,18
107,46
108,42
109,39
110,29
111,48
112,34
113,30
114,19
115,39
116,18
117,42
118,58
119,35
120,50
121,40
122,39
123,27
124,18
125,39
126,18
127,34
128,60
129,44
130,32
131,32
132,30
133,18
134,24
135,43
136,18
137,32
138,53
139,37
140,43
141,32
142,18
143,26
144,24
145,49
146,36
147,40
148,31
149,40
150,31
151,21
152,18
153,41
154,21
155,48
156,40
157,18
158,31
159,39
160,41
161,38
162,42
163,30
164,38
165,22
166,21
167,27
168,28
169,45
170,43
171,28
172,54
173,30
174,20
175,18
176,57
177,39
178,49
179,32
180,18
181,30
182,25
183,23
184,40
185,30
186,32
187,30
188,28
189,23
190,53
191,24
192,22
193,29
194,30
195,18
196,19
197,39
198,36
199,39
200,36
201,34
202,29
203,38
204,34
205,29
206,40
207,34
208,43
209,41
210,56
211,48
212,24
213,41
214,42
215,36
216,48
217,37
218,25
219,32
220,18
221,37
222,28
223,27
224,41
225,24
226,35
227,38
228,36
229,47
230,29
231,41
232,43
233,32
234,38
235,31
236,18
237,18
238,37
239,46
240,31
241,34
242,47
243,59
244,51
245,32
246,43
247,47
248,48
249,41
250,58
251,32
252,43
253,25
254,33
255,21
256,43
257,27
258,31
259,50
260,37
261,42
262,44
263,37
264,34
265,41
266,46
267,39
268,27
269,30
270,51
271,41
272,42
273,23
274,41
275,27
276,35
277,38
278,42
279,26
280,18
281,20
282,30
283,18
284,32
285,18
286,54
287,18
288,39
289,41
290,37
291,37
292,31
293,23
294,34
295,38
296,46
297,20
298,37
299,34
300,40
301,53
302,26
303,34
304,50
305,38
306,40
307,54
308,51
309,26
310,27
311,53
312,37
313,37
314,29
315,41
316,32
317,39
318,47
319,38
320,46
321,27
322,37
323,38
324,32
325,30
326,47
327,37
328,27
329,29
330,32
331,31
332,35
333,27
334,39
335,36
336,43
337,37
338,33
339,33
340,18
341,45
342,35
343,36
344,34
345,34
346,41
347,30
348,51
349,23
350,38
351,44
352,18
353,42
354,35
355,30
356,28
357,30
358,50
359,38
360,35
361,33
362,49
363,35
364,60
365,44
366,18
367,29
368,48
369,31
370,35
371,19
372,31
373,38
374,43
375,23
376,36
377,22
378,57
379,45
380,27
381,31
382,46
383,43
384,18
385,56
386,30
387,43
388,31
389,35
390,48
391,18
392,18
393,22
394,37
395,38
396,37
397,26
398,37
399,49
400,36
401,38
402,28
403,35
404,44
405,20
406,48
407,29
408,24
409,34
410,35
411,21
412,58
413,39
414,48
415,22
416,23
417,27
418,22
419,28
420,39
421,42
422,44
423,20
424,23
425,27
426,28
427,28
428,38
429,49
430,39
431,19
432,29
433,20
434,42
435,18
436,31
437,25
438,22
439,46
440,18
441,34
442,42
443,40
444,26
445,34
446,59
447,39
448,33
449,28
450,32
451,36
452,45
453,48
454,37
455,24
456,46
457,35
458,18
459,55
460,18
461,32
462,42
463,52
464,39
465,28
466,50
467,35
468,26
469,32
470,50
471,33
472,36
473,36
474,29
475,24
476,30
477,31
478,37
479,58
480,31
481,34
482,31
483,34
484,23
485,52
486,29
487,18
488,38
489,28
490,39
491,35
492,34
493,60
494,35
495,28
496,26
497,42
498,30
499,51
500,25
501,27
502,18
503,23
504,32
505,57
506,25
507,32
508,28
509,24
510,33
511,49
512,32
513,33
514,38
515,20
516,26
517,39
518,32
519,43
520,35
521,36
522,32
523,25
524,52
525,37
526,40
527,41
528,44
529,49
530,39
531,36
532,29
533,39
534,26
535,45
536,18
537,24
538,52
539,40
540,30
541,23
542,35
543,34
544,37
545,38
546,52
547,28
548,39
549,43
550,49
551,30
552,29
553,30
554,55
555,31
556,45
557,36
558,41
559,18
560,33
561,47
562,36
563,42
564,18
565,39
566,43
567,23
568,30
569,18
570,45
571,31
572,37
573,31
574,37
575,33
576,29
577,41
578,41
579,26
580,26
581,29
582,27
583,18
584,34
585,27
586,22
587,23
588,51
589,32
590,36
591,56
592,22
593,50
594,45
595,34
596,33
597,34
598,34
599,29
600,38
601,38
602,18
603,58
604,29
605,18
606,31
607,22
608,44
609,40
610,30
611,47
612,41
613,34
614,25
615,44
616,52
617,44
618,33
619,29
620,35
621,39
622,46
623,23
624,27
625,49
626,37
627,46
628,50
629,32
630,29
631,46
632,30
633,33
634,49
635,20
636,34
637,41
638,20
639,35
640,35
641,47
642,24
643,34
644,45
645,32
646,30
647,24
648,41
649,31
650,25
651,29
652,46
653,28
654,26
655,25
656,23
657,34
658,37
659,51
660,28
661,40
662,18
663,18
664,33
665,45
666,36
667,18
668,51
669,39
670,21
671,37
672,38
673,43
674,53
675,36
676,30
677,18
678,39
679,30
680,47
681,41
