id,age
1,31
2,27
3,36
4,25
5,41
6,34
7,42
8,50
9,28
10,28
11,40
12,36
13,35
14,32
15,36
16,43
17,23
18,38
19,29
20,52
21,22
22,35
23,40
24,42
25,27
26,21
27,38
28,28
29,33
30,51
31,41
32,51
33,41
34,38
35,43
36,44
37,35
38,21
39,24
40,48
41,23
42,27
43,36
44,30
45,42
46,31
47,18
48,49
49,23
50,60
51,23
52,30
53,34
54,36
55,18
56,46
57,31
58,44
59,52
60,48
61,18
62,51
63,28
64,32
65,32
66,34
67,45
68,36
69,35
70,30
71,40
72,23
73,22
74,22
75,54
76,53
77,28
78,21
79,39
80,24
81,26
82,40
83,24
84,44
85,41
86,42
87,28
88,43
89,48
90,45
91,48
92,44
93,48
94,58
95,38
96,31
97,20
98,33
99,53
100,27
101,30
102,35
103,40
104,30
105,50
106,44
107,39
108,34
109,27
110,30
111,27
112,24
113,34
114,37
115,35
116,18
117,55
118,39
119,33
120,40
121,38
122,34
123,25
124,43
125,22
126,29
127,35
128,43
129,37
130,43
131,28
132,28
133,45
134,35
135,39
136,35
137,38
138,25
139,49
140,30
141,33
142,49
143,42
144,34
145,20
146,29
147,23
148,40
149,33
150,21
151,18
152,34
153,31
154,23
155,24
156,21
157,37
158,36
159,36
160,18
161,37
162,20
163,59
164,50
165,25
166,35
167,44
168,46
169,40
170,25
171,18
172,29
173,18
174,21
175,24
176,42
177,41
178,36
179,28
180,51
181,35
182,31
183,27
184,46
185,46
186,31
187,25
188,60
189,50
190,50
191,18
192,37
193,36
194,22
195,34
196,27
197,32
198,31
199,48
200,34
201,49
202,50
203,43
204,36
205,49
206,46
207,18
208,50
209,30
210,43
211,52
212,36
213,29
214,20
215,31
216,26
217,40
218,28
219,38
220,40
221,43
222,36
223,48
224,29
225,46
226,28
227,37
228,38
229,42
230,30
231,36
232,53
233,38
234,30
235,48
236,26
237,26
238,44
239,34
240,52
241,28
242,42
243,35
244,45
245,46
246,35
247,36
248,41
249,46
250,42
251,42
252,34
253,44
254,38
255,33
256,33
257,23
258,44
259,40
260,36
261,22
262,41
263,22
264,34
265,34
266,29
267,22
268,38
269,27
270,46
271,51
272,43
273,49
274,31
275,40
276,31
277,38
278,49
279,42
280,39
281,43
282,29
283,44
284,18
285,32
286,45
287,41
288,24
289,27
290,35
291,28
292,38
293,25
294,24
295,44
296,44
297,18
298,44
299,34
300,32
301,27
302,31
303,38
304,45
305,39
306,33
307,39
308,40
309,28
310,32
311,45
312,50
313,22
314,25
315,25
316,43
317,24
318,19
319,18
320,25
321,31
322,50
323,29
324,29
325,44
326,30
327,42
328,35
329,37
330,22
331,18
332,41
333,29
334,32
335,23
336,40
337,25
338,41
339,43
340,33
341,41
342,31
343,33
344,40
345,35
346,22
347,22
348,38
349,26
350,43
351,22
352,47
353,45
354,27
355,43
356,52
357,32
358,44
359,29
360,31
361,43
362,41
363,46
364,33
365,35
366,40
367,34
368,30
369,51
370,39
371,36
372,42
373,45
374,27
375,28
376,53
377,40
378,31
379,35
380,19
381,43
382,45
383,34
384,39
385,27
386,25
387,25
388,34
389,30
390,36
391,36
392,36
393,46
394,24
395,32
396,45
397,45
398,44
399,40
400,31
401,51
402,60
403,55
404,24
405,42
406,48
407,23
408,38
409,56
410,38
411,28
412,34
413,43
414,29
415,46
416,28
417,24
418,60
419,32
420,45
421,33
422,43
423,28
424,38
425,25
426,34
427,39
428,20
429,32
430,23
431,32
432,52
433,37
434,40
435,18
436,45
437,19
438,29
439,20
440,46
441,39
442,31
443,19
444,38
445,37
446,40
447,25
448,39
449,28
450,42
451,42
452,32
453,36
454,20
455,24
456,43
457,38
458,32
459,30
460,40
461,43
462,40
463,19
464,32
465,23
466,31
467,43
468,35
469,32
470,31
471,31
472,23
473,35
474,31
475,32
476,34
477,34
478,34
479,29
480,24
481,41
482,23
483,33
484,27
485,40
486,41
487,35
488,37
489,38
490,54
491,34
492,32
493,53
494,36
495,18
496,41
497,36
498,36
499,18
500,36
501,28
502,23
503,37
504,43
505,18
506,18
507,23
508,23
509,18
510,42
511,39
512,38
513,39
514,39
515,34
516,32
517,59
518,35
519,24
520,38
521,45
522,36
523,30
524,29
525,23
526,27
527,39
528,25
529,30
530,35
531,27
532,46
533,27
534,42
535,35
536,29
537,28
538,23
539,46
540,26
541,44
542,18
543,35
544,43
545,33
546,44
547,43
548,33
549,35
550,39
551,48
552,44
553,19
554,26
555,23
556,38
557,33
558,32
559,34
560,40
561,42
562,30
563,28
564,34
565,47
566,48
567,26
568,40
569,36
570,18
571,40
572,32
573,27
574,29
575,36
576,36
577,44
578,30
579,45
580,29
